sta lat lon HLE HLN HLZ dist az Max3 MaxH MaxZ MaxS
B037 24.4919 120.684 2.751310 3.450040 2.132680 165.125 327.121 3.450040 3.450040 2.132680 4.901103
B039 24.4897 120.791 3.653960 4.088730 2.123810 159.227 330.343 4.088730 4.088730 2.123810 5.880451
B041 24.3898 120.696 3.413110 5.785920 1.862560 155.093 325.205 5.785920 5.785920 1.862560 6.971034
B043 24.6866 120.96 4.107710 3.861880 1.825230 171.53 338.967 4.107710 4.107710 1.825230 5.926117
B045 24.5399 120.92 3.455450 3.329460 0.843227 158.123 335.482 3.455450 3.455450 0.843227 4.872009
B050 24.1799 120.642 5.670510 7.885740 6.527430 140.38 317.894 7.885740 7.885740 6.527430 11.702432
B051 24.1598 120.66 9.383450 17.619500 5.714970 137.505 317.828 17.619500 17.619500 5.714970 20.764315
B053 24.1917 120.679 9.802100 13.948600 8.267010 138.846 319.407 13.948600 13.948600 8.267010 18.946980
B056 24.157 120.634 8.593540 9.597790 5.015220 139.085 316.934 9.597790 9.597790 5.015220 13.824577
B059 24.267 120.572 7.819920 9.972920 7.214760 152.29 318.373 9.972920 9.972920 7.214760 14.582971
B060 24.2219 120.65 11.662400 11.560600 7.765440 143.266 319.408 11.662400 11.662400 7.765440 18.164832
B061 24.1345 120.557 14.110800 14.422600 6.776280 142.831 313.978 14.422600 14.422600 6.776280 21.284831
B062 24.1149 120.684 14.092100 17.384500 5.047610 132.165 317.166 17.384500 17.384500 5.047610 22.940935
B063 24.1078 120.624 16.502800 15.549600 5.400510 135.891 315.051 16.502800 16.502800 5.400510 23.308753
B066 24.2138 120.704 8.567050 10.740800 7.474730 139.045 320.872 10.740800 10.740800 7.474730 15.640675
B068 24.276 120.773 4.710380 4.686780 3.055200 140.26 324.872 4.710380 4.710380 3.055200 7.313538
B069 24.2596 120.831 8.122490 6.779360 5.847670 135.431 326.449 8.122490 8.122490 5.847670 12.088416
B071 23.984 120.795 4.895050 4.656460 2.271670 113.882 316.32 4.895050 4.895050 2.271670 7.127736
B077 23.8272 120.787 8.758530 7.312940 6.247260 102.718 309.253 8.758530 8.758530 6.247260 13.008428
B078 23.8096 120.854 3.725290 8.012670 2.897030 96.2271 310.907 8.012670 8.012670 2.897030 9.299110
B095 24.6888 121.02 3.314230 2.498260 1.431290 169.642 340.913 3.314230 3.314230 1.431290 4.390218
B097 24.7884 120.927 3.727810 4.338770 1.804500 183.231 339.291 4.338770 4.338770 1.804500 5.998142
B099 24.1364 120.699 17.467400 15.861800 4.052810 132.874 318.35 17.467400 17.467400 4.052810 23.940176
B102 24.247 120.729 9.934550 8.046880 6.804230 140.373 322.603 9.934550 9.934550 6.804230 14.482579
B103 24.3075 120.715 5.372170 5.361260 2.024050 146.547 323.782 5.372170 5.372170 2.024050 7.854941
B104 24.2443 120.609 7.491060 10.021800 6.762560 147.897 318.813 10.021800 10.021800 6.762560 14.222682
B111 24.112 120.495 9.301960 14.040200 8.043780 145.809 311.56 14.040200 14.040200 8.043780 18.664299
B112 24.0552 120.43 17.928000 16.493500 8.867010 146.892 308.024 17.928000 17.928000 8.867010 25.924363
B115 23.9579 120.478 9.716480 7.811020 6.335480 136.612 305.677 9.716480 9.716480 6.335480 13.984288
B116 23.8556 120.589 5.390750 5.289130 5.272330 120.865 304.389 5.390750 5.390750 5.272330 9.210458
B117 24.1324 120.468 18.432000 18.908200 5.779790 149.32 311.532 18.908200 18.908200 5.779790 27.030809
B118 24.0004 120.431 11.178000 10.488000 7.828590 143.193 306.124 11.178000 11.178000 7.828590 17.211410
B120 23.9774 120.621 10.512000 9.252350 4.942220 126.339 310.311 10.512000 10.512000 4.942220 14.850376
